Probability	Mean Absolute Error
0.02	   151.6532
0.04	   140.9685
0.06	  135.77765
0.08	   135.0581
 0.1	   132.3124
0.12	  131.18478
0.14	  129.81412
0.16	   128.5317
0.18	  128.15746
 0.2	   128.8342
0.22	 127.543365
0.24	  127.31755
0.26	  126.98719
0.28	 125.852135
 0.3	  126.38982
0.32	  125.88031
0.34	  126.30104
0.36	    125.382
0.38	  125.01083
 0.4	  125.20935
0.42	  125.18284
0.44	 125.468124
0.46	  125.06186
0.48	 124.555565
 0.5	   124.8246
0.52	  124.34869
0.54	  124.39015
0.56	  123.93341
0.58	  124.37222
 0.6	  123.99516
0.62	  123.88875
0.64	  123.62569
0.66	   123.4761
0.68	  123.48986
 0.7	 123.698425
0.72	  123.26535
0.74	 122.822334
0.76	  123.03101
0.78	   123.2461
 0.8	    122.939
0.82	   122.7061
0.84	  122.56881
0.86	 122.705826
0.88	  122.59792
 0.9	 122.554985
0.92	  122.42135
0.94	  122.26236
0.96	  122.28055
0.98	  122.09505
 1.0	   121.9759
